t,area,f1_x,f1_y,f1_z,f1_n,f1_mag,f2_x,f2_y,f2_z,f2_n,f2_mag
0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
4.538000e-05, 1.963495e-05, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, -5.972319e-07, 7.269739e-08, 0.000000e+00, 7.269739e-08, 6.016401e-07
9.076000e-05, 3.927007e-05, -8.739974e+00, 3.935118e+02, 0.000000e+00, -3.935118e+02, 3.936088e+02, -8.121388e+00, -3.943596e+02, 0.000000e+00, -3.943596e+02, 3.944432e+02
1.361400e-04, 3.927023e-05, -1.000106e+01, 3.932341e+02, 0.000000e+00, -3.932341e+02, 3.933612e+02, -9.402703e+00, -3.940391e+02, 0.000000e+00, -3.940391e+02, 3.941513e+02
1.815200e-04, 3.927040e-05, -1.095090e+01, 3.922625e+02, 0.000000e+00, -3.922625e+02, 3.924154e+02, -1.037080e+01, -3.930238e+02, 0.000000e+00, -3.930238e+02, 3.931606e+02
2.269001e-04, 3.927056e-05, -1.164361e+01, 3.909781e+02, 0.000000e+00, -3.909781e+02, 3.911514e+02, -1.107974e+01, -3.916962e+02, 0.000000e+00, -3.916962e+02, 3.918529e+02
2.722803e-04, 3.927073e-05, -1.213553e+01, 3.895830e+02, 0.000000e+00, -3.895830e+02, 3.897720e+02, -1.158573e+01, -3.902598e+02, 0.000000e+00, -3.902598e+02, 3.904317e+02
3.176606e-04, 3.927090e-05, -1.247668e+01, 3.881863e+02, 0.000000e+00, -3.881863e+02, 3.883868e+02, -1.193874e+01, -3.888238e+02, 0.000000e+00, -3.888238e+02, 3.890071e+02
3.630409e-04, 3.927106e-05, -1.270783e+01, 3.868457e+02, 0.000000e+00, -3.868457e+02, 3.870544e+02, -1.217967e+01, -3.874465e+02, 0.000000e+00, -3.874465e+02, 3.876379e+02
4.084214e-04, 3.927123e-05, -1.286045e+01, 3.855901e+02, 0.000000e+00, -3.855901e+02, 3.858046e+02, -1.234018e+01, -3.861569e+02, 0.000000e+00, -3.861569e+02, 3.863540e+02
4.538020e-04, 3.927139e-05, -1.295797e+01, 3.844322e+02, 0.000000e+00, -3.844322e+02, 3.846506e+02, -1.244394e+01, -3.849675e+02, 0.000000e+00, -3.849675e+02, 3.851685e+02
4.991826e-04, 3.927156e-05, -1.301729e+01, 3.833752e+02, 0.000000e+00, -3.833752e+02, 3.835962e+02, -1.250814e+01, -3.838815e+02, 0.000000e+00, -3.838815e+02, 3.840852e+02
5.445634e-04, 3.927172e-05, -1.305043e+01, 3.824173e+02, 0.000000e+00, -3.824173e+02, 3.826399e+02, -1.254504e+01, -3.828969e+02, 0.000000e+00, -3.828969e+02, 3.831024e+02
5.899442e-04, 3.927189e-05, -1.306576e+01, 3.815538e+02, 0.000000e+00, -3.815538e+02, 3.817775e+02, -1.256323e+01, -3.820090e+02, 0.000000e+00, -3.820090e+02, 3.822155e+02
6.353252e-04, 3.927205e-05, -1.306907e+01, 3.807788e+02, 0.000000e+00, -3.807788e+02, 3.810030e+02, -1.256870e+01, -3.812115e+02, 0.000000e+00, -3.812115e+02, 3.814187e+02
6.807062e-04, 3.927221e-05, -1.306432e+01, 3.800857e+02, 0.000000e+00, -3.800857e+02, 3.803102e+02, -1.256556e+01, -3.804979e+02, 0.000000e+00, -3.804979e+02, 3.807053e+02
