t,Eint,Ekin,Wext,Etot,Ebal,Wnormal,Wfric,Wext_1,Wext_2,Wnormal_1,Wnormal_2,Wfric_1,Wfric_2,Fn_1,Fn_2,dn_1,dn_2,bc_1_dx,bc_1_dy,bc_1_dz,bc_2_dx,bc_2_dy,bc_2_dz
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.403500e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.403500e-08,0.000000e+00
4.538000e-05,2.191099e-14,5.991074e-15,-2.474256e-15,2.790207e-14,-3.037632e-14,-2.474256e-15,1.510917e-28,0.000000e+00,-2.474256e-15,0.000000e+00,-2.474256e-15,0.000000e+00,1.510917e-28,0.000000e+00,7.269739e-08,0.000000e+00,3.403500e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.807000e-08,0.000000e+00
9.076000e-05,1.231763e-05,2.438002e-15,1.342203e-05,1.231763e-05,1.104398e-06,1.342203e-05,5.260303e-17,0.000000e+00,1.342203e-05,0.000000e+00,1.342203e-05,0.000000e+00,5.260303e-17,-3.935118e+02,-3.943596e+02,0.000000e+00,3.403500e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.021050e-07,0.000000e+00
1.361400e-04,2.505913e-05,2.378845e-15,2.683315e-05,2.505913e-05,1.774025e-06,2.683315e-05,1.874086e-16,0.000000e+00,2.683315e-05,0.000000e+00,2.683315e-05,0.000000e+00,1.874086e-16,-3.932341e+02,-3.940391e+02,0.000000e+00,3.403500e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.361400e-07,0.000000e+00
1.815200e-04,3.805828e-05,2.345797e-15,4.020974e-05,3.805828e-05,2.151461e-06,4.020974e-05,4.260379e-16,0.000000e+00,4.020974e-05,0.000000e+00,4.020974e-05,0.000000e+00,4.260379e-16,-3.922625e+02,-3.930238e+02,0.000000e+00,3.403507e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.701751e-07,0.000000e+00
2.269001e-04,5.121527e-05,2.327185e-15,5.354118e-05,5.121527e-05,2.325904e-06,5.354118e-05,7.828959e-16,0.000000e+00,5.354118e-05,0.000000e+00,5.354118e-05,0.000000e+00,7.828959e-16,-3.909781e+02,-3.916962e+02,0.000000e+00,3.403514e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.042102e-07,0.000000e+00
2.722803e-04,6.447016e-05,2.316776e-15,6.682375e-05,6.447016e-05,2.353592e-06,6.682375e-05,1.266819e-15,0.000000e+00,6.682375e-05,0.000000e+00,6.682375e-05,0.000000e+00,1.266819e-15,-3.895830e+02,-3.902598e+02,0.000000e+00,3.403521e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.382454e-07,0.000000e+00
3.176606e-04,7.778693e-05,2.311112e-15,8.005748e-05,7.778693e-05,2.270546e-06,8.005748e-05,1.882804e-15,0.000000e+00,8.005748e-05,0.000000e+00,8.005748e-05,0.000000e+00,1.882804e-15,-3.881863e+02,-3.888238e+02,0.000000e+00,3.403528e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.722807e-07,0.000000e+00
3.630409e-04,9.114397e-05,2.308222e-15,9.324436e-05,9.114397e-05,2.100384e-06,9.324436e-05,2.633434e-15,0.000000e+00,9.324436e-05,0.000000e+00,9.324436e-05,0.000000e+00,2.633434e-15,-3.868457e+02,-3.874465e+02,0.000000e+00,3.403535e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.063160e-07,0.000000e+00
4.084214e-04,1.045283e-04,2.306959e-15,1.063874e-04,1.045283e-04,1.859077e-06,1.063874e-04,3.519915e-15,0.000000e+00,1.063874e-04,0.000000e+00,1.063874e-04,0.000000e+00,3.519915e-15,-3.855901e+02,-3.861569e+02,0.000000e+00,3.403542e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.403515e-07,0.000000e+00
4.538020e-04,1.179321e-04,2.306652e-15,1.194899e-04,1.179321e-04,1.557837e-06,1.194899e-04,4.542749e-15,0.000000e+00,1.194899e-04,0.000000e+00,1.194899e-04,0.000000e+00,4.542749e-15,-3.844322e+02,-3.849675e+02,0.000000e+00,3.403549e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.743870e-07,0.000000e+00
4.991826e-04,1.313507e-04,2.306903e-15,1.325555e-04,1.313507e-04,1.204870e-06,1.325555e-04,5.702142e-15,0.000000e+00,1.325555e-04,0.000000e+00,1.325555e-04,0.000000e+00,5.702142e-15,-3.833752e+02,-3.838815e+02,0.000000e+00,3.403556e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.084225e-07,0.000000e+00
5.445634e-04,1.447812e-04,2.307476e-15,1.455877e-04,1.447812e-04,8.064419e-07,1.455877e-04,6.998231e-15,0.000000e+00,1.455877e-04,0.000000e+00,1.455877e-04,0.000000e+00,6.998231e-15,-3.824173e+02,-3.828969e+02,0.000000e+00,3.403563e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.424582e-07,0.000000e+00
5.899442e-04,1.582221e-04,2.308231e-15,1.585896e-04,1.582221e-04,3.675316e-07,1.585896e-04,8.431190e-15,0.000000e+00,1.585896e-04,0.000000e+00,1.585896e-04,0.000000e+00,8.431190e-15,-3.815538e+02,-3.820090e+02,0.000000e+00,3.403570e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.764939e-07,0.000000e+00
6.353252e-04,1.716722e-04,2.309084e-15,1.715645e-04,1.716722e-04,-1.077650e-07,1.715645e-04,1.000127e-14,0.000000e+00,1.715645e-04,0.000000e+00,1.715645e-04,0.000000e+00,1.000127e-14,-3.807788e+02,-3.812115e+02,0.000000e+00,3.403577e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.105296e-07,0.000000e+00
6.807062e-04,1.851310e-04,2.309986e-15,1.845150e-04,1.851310e-04,-6.159847e-07,1.845150e-04,1.170883e-14,0.000000e+00,1.845150e-04,0.000000e+00,1.845150e-04,0.000000e+00,1.170883e-14,-3.800857e+02,-3.804979e+02,0.000000e+00,3.403584e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.445655e-07,0.000000e+00
7.260873e-04,1.985981e-04,2.310908e-15,1.974440e-04,1.985981e-04,-1.154136e-06,1.974440e-04,1.355426e-14,0.000000e+00,1.974440e-04,0.000000e+00,1.974440e-04,0.000000e+00,1.355426e-14,-3.794681e+02,-3.798614e+02,0.000000e+00,3.403591e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.786014e-07,0.000000e+00
