t,Eint,Ekin,Wext,Etot,Ebal
0.000000e+00,1.010597e-02,1.071845e-01,0.000000e+00,1.172904e-01,-1.172904e-01
1.000329e-04,8.939760e+00,8.646010e-01,0.000000e+00,9.804361e+00,-9.804361e+00
2.000826e-04,1.902946e+01,8.183799e-01,0.000000e+00,1.984784e+01,-1.984784e+01
3.001327e-04,2.944696e+01,8.276053e-01,0.000000e+00,3.027457e+01,-3.027457e+01
4.007126e-04,4.042568e+01,8.185841e-01,0.000000e+00,4.124427e+01,-4.124427e+01
5.001931e-04,5.173609e+01,8.243744e-01,0.000000e+00,5.256047e+01,-5.256047e+01
6.000418e-04,6.348305e+01,8.235527e-01,0.000000e+00,6.430660e+01,-6.430660e+01
7.002548e-04,7.563180e+01,8.236607e-01,0.000000e+00,7.645546e+01,-7.645546e+01
8.001059e-04,8.806320e+01,8.247792e-01,0.000000e+00,8.888798e+01,-8.888798e+01
9.002234e-04,1.008290e+02,8.252348e-01,0.000000e+00,1.016542e+02,-1.016542e+02
1.000408e-03,1.138857e+02,8.251346e-01,0.000000e+00,1.147108e+02,-1.147108e+02
1.100638e-03,1.272156e+02,8.258130e-01,0.000000e+00,1.280414e+02,-1.280414e+02
1.200196e-03,1.407076e+02,8.267153e-01,0.000000e+00,1.415343e+02,-1.415343e+02
1.300480e-03,1.545400e+02,8.272968e-01,0.000000e+00,1.553673e+02,-1.553673e+02
1.400071e-03,1.685079e+02,8.277232e-01,0.000000e+00,1.693356e+02,-1.693356e+02
1.500350e-03,1.827961e+02,8.281120e-01,0.000000e+00,1.836242e+02,-1.836242e+02
1.600601e-03,1.972979e+02,8.284356e-01,0.000000e+00,1.981263e+02,-1.981263e+02
1.700132e-03,2.119044e+02,8.287013e-01,0.000000e+00,2.127331e+02,-2.127331e+02
1.800291e-03,2.268077e+02,8.289605e-01,0.000000e+00,2.276367e+02,-2.276367e+02
1.900380e-03,2.419009e+02,8.292335e-01,0.000000e+00,2.427302e+02,-2.427302e+02
2.000384e-03,2.571772e+02,8.294875e-01,0.000000e+00,2.580067e+02,-2.580067e+02
2.100290e-03,2.726301e+02,8.297182e-01,0.000000e+00,2.734598e+02,-2.734598e+02
2.200082e-03,2.882537e+02,8.300239e-01,0.000000e+00,2.890837e+02,-2.890837e+02
2.300396e-03,3.041456e+02,8.303499e-01,0.000000e+00,3.049760e+02,-3.049760e+02
2.400558e-03,3.201977e+02,8.306496e-01,0.000000e+00,3.210283e+02,-3.210283e+02
2.500556e-03,3.364045e+02,8.309400e-01,0.000000e+00,3.372354e+02,-3.372354e+02
2.600375e-03,3.527608e+02,8.312463e-01,0.000000e+00,3.535921e+02,-3.535921e+02
2.700002e-03,3.692618e+02,8.315477e-01,0.000000e+00,3.700933e+02,-3.700933e+02
2.800046e-03,3.860071e+02,8.318625e-01,0.000000e+00,3.868390e+02,-3.868390e+02
2.900477e-03,4.029928e+02,8.321897e-01,0.000000e+00,4.038249e+02,-4.038249e+02
3.000043e-03,4.200042e+02,8.325211e-01,0.000000e+00,4.208367e+02,-4.208367e+02
3.100567e-03,4.373519e+02,8.328748e-01,0.000000e+00,4.381847e+02,-4.381847e+02
3.200199e-03,4.547161e+02,8.332425e-01,0.000000e+00,4.555493e+02,-4.555493e+02
3.300135e-03,4.723026e+02,8.336217e-01,0.000000e+00,4.731362e+02,-4.731362e+02
3.400346e-03,4.901072e+02,8.340258e-01,0.000000e+00,4.909412e+02,-4.909412e+02
3.500219e-03,5.080201e+02,8.344442e-01,0.000000e+00,5.088545e+02,-5.088545e+02
3.600320e-03,5.261421e+02,8.348699e-01,0.000000e+00,5.269770e+02,-5.269770e+02
3.700048e-03,5.443635e+02,8.353088e-01,0.000000e+00,5.451988e+02,-5.451988e+02
3.800527e-03,5.628903e+02,8.357695e-01,0.000000e+00,5.637261e+02,-5.637261e+02
3.900025e-03,5.814024e+02,8.362383e-01,0.000000e+00,5.822386e+02,-5.822386e+02
4.000218e-03,6.002107e+02,8.367267e-01,0.000000e+00,6.010474e+02,-6.010474e+02
4.100511e-03,6.192052e+02,8.372353e-01,0.000000e+00,6.200424e+02,-6.200424e+02
4.200330e-03,6.382764e+02,8.377585e-01,0.000000e+00,6.391142e+02,-6.391142e+02
4.300205e-03,6.575246e+02,8.383004e-01,0.000000e+00,6.583629e+02,-6.583629e+02
4.400110e-03,6.769449e+02,8.388609e-01,0.000000e+00,6.777837e+02,-6.777837e+02
4.500016e-03,6.965322e+02,8.394436e-01,0.000000e+00,6.973717e+02,-6.973717e+02
4.600422e-03,7.163855e+02,8.400505e-01,0.000000e+00,7.172255e+02,-7.172255e+02
4.700249e-03,7.362917e+02,8.406706e-01,0.000000e+00,7.371324e+02,-7.371324e+02
4.800001e-03,7.563498e+02,8.413110e-01,0.000000e+00,7.571911e+02,-7.571911e+02
4.900157e-03,7.766576e+02,8.419740e-01,0.000000e+00,7.774995e+02,-7.774995e+02
5.000175e-03,7.971061e+02,8.426570e-01,0.000000e+00,7.979488e+02,-7.979488e+02
5.100031e-03,8.176902e+02,8.433602e-01,0.000000e+00,8.185336e+02,-8.185336e+02
5.200188e-03,8.385064e+02,8.440875e-01,0.000000e+00,8.393505e+02,-8.393505e+02
5.300123e-03,8.594465e+02,8.448320e-01,0.000000e+00,8.602913e+02,-8.602913e+02
5.400289e-03,8.806062e+02,8.456032e-01,0.000000e+00,8.814518e+02,-8.814518e+02
5.500175e-03,9.018780e+02,8.463955e-01,0.000000e+00,9.027244e+02,-9.027244e+02
5.600223e-03,9.233566e+02,8.472135e-01,0.000000e+00,9.242038e+02,-9.242038e+02
5.700394e-03,9.450349e+02,8.480572e-01,0.000000e+00,9.458830e+02,-9.458830e+02
5.800196e-03,9.668068e+02,8.489230e-01,0.000000e+00,9.676557e+02,-9.676557e+02
5.900055e-03,9.887651e+02,8.498151e-01,0.000000e+00,9.896149e+02,-9.896149e+02
6.000374e-03,1.011001e+03,8.507378e-01,0.000000e+00,1.011852e+03,-1.011852e+03
6.100228e-03,1.033310e+03,8.516832e-01,0.000000e+00,1.034161e+03,-1.034161e+03
6.200027e-03,1.055783e+03,8.526555e-01,0.000000e+00,1.056636e+03,-1.056636e+03
6.300160e-03,1.078510e+03,8.536573e-01,0.000000e+00,1.079364e+03,-1.079364e+03
6.400154e-03,1.101385e+03,8.546889e-01,0.000000e+00,1.102240e+03,-1.102240e+03
6.500388e-03,1.124496e+03,8.557535e-01,0.000000e+00,1.125352e+03,-1.125352e+03
6.600405e-03,1.147739e+03,8.568445e-01,0.000000e+00,1.148596e+03,-1.148596e+03
6.700171e-03,1.171106e+03,8.579641e-01,0.000000e+00,1.171964e+03,-1.171964e+03
