t,Eint,Ekin,Wext,Etot,Ebal
0.000000e+00,3.413091e-01,3.765579e+00,0.000000e+00,4.106888e+00,-4.106888e+00
1.010701e-04,1.237014e+02,1.723645e+02,0.000000e+00,2.960659e+02,-2.960659e+02
2.008089e-04,2.240499e+02,2.454772e+02,0.000000e+00,4.695271e+02,-4.695271e+02
3.005869e-04,4.870081e+02,1.428213e+02,0.000000e+00,6.298295e+02,-6.298295e+02
4.002705e-04,7.356271e+02,1.023876e+02,0.000000e+00,8.380147e+02,-8.380147e+02
5.005230e-04,1.018302e+03,1.378240e+02,0.000000e+00,1.156126e+03,-1.156126e+03
6.005018e-04,1.275254e+03,1.586650e+02,0.000000e+00,1.433919e+03,-1.433919e+03
7.002980e-04,1.547601e+03,1.110687e+02,0.000000e+00,1.658670e+03,-1.658670e+03
8.009627e-04,1.824031e+03,1.340478e+02,0.000000e+00,1.958079e+03,-1.958079e+03
9.002934e-04,2.096019e+03,1.533670e+02,0.000000e+00,2.249386e+03,-2.249386e+03
1.000755e-03,2.381281e+03,1.192619e+02,0.000000e+00,2.500542e+03,-2.500542e+03
1.101087e-03,2.669439e+03,1.227345e+02,0.000000e+00,2.792173e+03,-2.792173e+03
1.200006e-03,2.957397e+03,1.337765e+02,0.000000e+00,3.091173e+03,-3.091173e+03
1.301010e-03,3.255350e+03,1.107612e+02,0.000000e+00,3.366111e+03,-3.366111e+03
1.400760e-03,3.552410e+03,1.201066e+02,0.000000e+00,3.672516e+03,-3.672516e+03
1.500365e-03,3.852266e+03,1.293717e+02,0.000000e+00,3.981638e+03,-3.981638e+03
1.600817e-03,4.157746e+03,1.155753e+02,0.000000e+00,4.273322e+03,-4.273322e+03
1.701043e-03,4.464959e+03,1.278427e+02,0.000000e+00,4.592802e+03,-4.592802e+03
1.801095e-03,4.773689e+03,1.296234e+02,0.000000e+00,4.903312e+03,-4.903312e+03
1.901015e-03,5.084276e+03,1.217082e+02,0.000000e+00,5.205985e+03,-5.205985e+03
2.000755e-03,5.396265e+03,1.350590e+02,0.000000e+00,5.531324e+03,-5.531324e+03
2.100328e-03,5.709474e+03,1.316172e+02,0.000000e+00,5.841091e+03,-5.841091e+03
2.200763e-03,6.027248e+03,1.294490e+02,0.000000e+00,6.156697e+03,-6.156697e+03
2.300963e-03,6.346269e+03,1.373340e+02,0.000000e+00,6.483603e+03,-6.483603e+03
2.400981e-03,6.666420e+03,1.309916e+02,0.000000e+00,6.797412e+03,-6.797412e+03
